Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9964443392105614,0.010218473849637647,0.06036924646775695,0.05605690423687867,23.566315685778136,0.6602378892047065
2,1.0,0.010305943405477682,6.23537234565275e-11,7.008327865626202e-11,23.55915172478646,0.6582770815917424
3,1.0,0.009302987769374797,6.095551584900428e-11,6.067101919965274e-11,23.671711559034954,0.6607930936983654
4,1.0,0.009143424239755336,6.164185968471022e-11,6.184333728127682e-11,22.88361607424864,0.6458641652550016
5,1.0,0.009065219678586828,6.062733997672995e-11,5.835624091473482e-11,23.653380560496743,0.6652505674532482
6,1.0,0.008890956048515824,5.933877847799581e-11,5.868281438625844e-11,23.828781682578533,0.6677040138414928
7,1.0,0.008814424636600624,8.105900300605421e-11,7.889095916380555e-11,23.81282771323393,0.6682581028767994
8,1.0,0.00877574563560776,1.9601977482666828e-10,1.8944018358181581e-10,22.961833080407068,0.6596226841211319
9,1.0006011264956525,0.00870686512429306,0.10327828556935181,0.10379063187630942,23.857589087917365,0.6692286602088383
10,1.0,0.008716099299905296,0.0,0.0,23.83580872510487,0.6681752524205616
11,1.0,0.008848695471704507,0.0,0.0,23.483447409311182,0.6539477620806012
12,1.0,0.008861165765408519,0.0,0.0,23.851075313860903,0.6667232705014092
13,1.0,0.008697823395819967,0.0,0.0,23.692013008445887,0.6634518078395298
14,1.0,0.008909074899446959,0.0,0.0,23.913881874426618,0.6710339678185326
15,1.0,0.008696489316397778,0.0,0.0,23.83839846142763,0.6672543713024685
16,1.0,0.008663842455399723,0.0,0.0,23.83449888918821,0.6680921890905925
17,1.0,0.008646534161461317,0.0,0.0,23.754610793951368,0.665189095905849
18,1.0,0.00863072327798598,0.0,0.0,23.87412259133606,0.6690997438771384
19,1.0,0.008623196832761663,0.0,0.0,23.88767887674316,0.6690274604729244
20,1.0,0.00861046612427868,0.0,0.0,23.87859369645654,0.6679336875677109
21,1.0,0.008596576804697328,0.0,0.0,23.80050732856658,0.6654990847621646
22,1.0,0.008589203442393131,0.0,0.0,23.92349027247096,0.6716988597597394
23,1.0,0.008593442494015167,0.0,0.0,23.848139886958343,0.6665591150522232
24,1.0,0.008571451034757932,0.0,0.0,23.917526939387294,0.6694709488323757
25,1.0,0.008565640454877422,0.0,0.0,23.927898527793072,0.6706568769046238
